work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,entry,Freelance,applied data scientist,30000.0,USD,30000,United Kingdom,Remote,United Kingdom,M,Data Science and Research
2024,exec,,business intelligence,2300000.0,USD,230000,United States,In-person,United States,M,BI and Visualization
2024,exec,,business intelligence,176900.0,USD,176900,United States,In-person,United States,M,BI and Visualization
2024,senior,Full-time,data architect,171210.0,USD,171210,Canada,In-person,Canada,M,Data Architecture and Modeling
2024,senior,Full-time,data architect,,USD,92190,Canada,In-person,Canada,M,Data Architecture and Modeling
2024,Mid-level,Full-time,data science,46203.0,GBP,57753,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Mid-level,,data science,,GBP,47850,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,entry,Full-time,insight analyst,50000.0,USD,50000,United States,Remote,United States,M,Data Analysis
2024,entry,Full-time,,40000.0,USD,40000,United States,Remote,United States,M,Data Analysis
2024,senior,Full-time,data engineer,276000.0,USD,276000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data engineer,148000.0,USD,148000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,research scientist,234000.0,USD,234000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,research scientist,146000.0,USD,146000,,In-person,United States,M,Data Science and Research
2024,entry,,,192300.0,USD,192300,United States,In-person,United States,M,BI and Visualization
2024,entry,Full-time,business intelligence analyst,120200.0,USD,120200,United States,In-person,United States,M,BI and Visualization
2024,entry,Full-time,,132500.0,USD,132500,United States,In-person,United States,M,Leadership and Management
2024,entry,Full-time,analytics engineer,1115000.0,USD,111500,United States,In-person,United States,M,Leadership and Management
2024,entry,Full-time,data engineer,234000.0,USD,234000,United States,In-person,United States,M,Data Engineering
2024,entry,Full-time,data engineer,146000.0,USD,146000,United States,In-person,United States,M,Data Engineering
2024,senior,Full-time,data scientist,322000.0,USD,322000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data scientist,1680000.0,USD,168000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,,152000.0,USD,152000,Canada,In-person,Canada,M,Data Science and Research
2024,Mid-level,Full-time,data scientist,98000.0,USD,98000,,In-person,Canada,M,Data Science and Research
2024,senior,Full-time,research engineer,1380000.0,USD,138000,United States,In-person,United States,M,Data Science and Research
2024,senior,,research engineer,,USD,86000,United States,In-person,United States,M,Data Science and Research
2024,senior,Full-time,data science,268700.0,USD,268700,United States,In-person,United States,M,Data Science and Research
